시간,내부온도관측치,외부온도관측치,내부습도관측치,외부습도관측치,CO2관측치,EC관측치,최근분무량,화이트 LED동작강도,레드 LED동작강도,블루 LED동작강도,냉방온도,냉방부하,난방온도,난방부하,총추정광량,백색광추정광량,적색광추정광량,청색광추정광량
2021-06-03 19:59,22.5,22.799999237060547,81.19999694824219,56.29999923706055,507.0,0.1158069297671318,10708.13,0.0,0.0,0.0,20.0,21.999998092651367,18.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 20:00,22.5,22.799999237060547,81.0999984741211,56.09999847412109,510.0,0.114252470433712,10708.13,0.0,0.0,0.0,20.0,22.5,18.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 20:01,22.39999961853028,22.700000762939453,81.0,55.900001525878906,510.0,0.114252470433712,10708.13,0.0,0.0,0.0,20.0,21.999998092651367,18.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 20:02,22.39999961853028,22.799999237060547,80.9000015258789,55.70000076293945,511.0,0.1150297001004219,10708.13,0.0,0.0,0.0,20.0,21.999998092651367,18.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 20:03,22.39999961853028,22.799999237060547,80.9000015258789,58.20000076293945,507.0,0.114252470433712,10708.13,0.0,0.0,0.0,20.0,21.999998092651367,18.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 20:04,22.39999961853028,22.799999237060547,80.9000015258789,59.0,509.0,0.1150297001004219,10708.13,0.0,0.0,0.0,20.0,21.999998092651367,18.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 20:05,22.39999961853028,22.89999961853028,81.0,59.79999923706055,505.0,0.114252470433712,10708.13,0.0,0.0,0.0,20.0,21.999998092651367,18.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 20:06,22.299999237060547,22.89999961853028,81.0999984741211,60.900001525878906,505.0,0.1150297001004219,10708.13,0.0,,,20.0,21.49999618530273,18.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 20:07,22.299999237060547,23.100000381469727,81.19999694824219,61.20000076293945,506.0,0.1150297001004219,10708.13,0.0,0.0,0.0,20.0,21.49999618530273,18.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 20:08,22.39999961853028,23.200000762939453,81.4000015258789,62.0,509.0,0.1150297001004219,10708.13,0.0,0.0,0.0,20.0,21.49999618530273,18.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 20:09,22.39999961853028,23.299999237060547,81.4000015258789,62.20000076293945,507.0,0.114252470433712,10708.13,,0.0,0.0,20.0,21.999998092651367,18.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 20:10,22.39999961853028,23.299999237060547,81.5,60.20000076293945,503.0,0.1150297001004219,10708.13,0.0,0.0,0.0,20.0,21.999998092651367,18.0,0.0,0.0,0.0,0.0,0.0
2021-06-03 20:11,22.39999961853028,23.39999961853028,81.5,59.0,510.0,0.1150297001004219,10708.13,0.0,0.0,0.0,20.0,21.999998092651367,18.0,0.0,0.0,0.0,0.0,0.0
